cancer_classification,YEAR,Age_Group,M,F,TOTAL
Hodgkin lymphoma (C81),1985,N10_14,39,32,71
Hodgkin lymphoma (C81),1985,N15_19,120,119,239
Hodgkin lymphoma (C81),1985,N20_24,154,149,303
Hodgkin lymphoma (C81),1985,N25_29,143,93,236
Hodgkin lymphoma (C81),1985,N30_34,121,85,206
Hodgkin lymphoma (C81),1985,N35_39,125,55,180
Hodgkin lymphoma (C81),1985,N40_44,92,54,146
Hodgkin lymphoma (C81),1985,N45_49,88,48,136
Hodgkin lymphoma (C81),1985,N50_54,86,34,120
Hodgkin lymphoma (C81),1985,N55_59,105,52,157
Hodgkin lymphoma (C81),1985,N60_64,81,56,137
Hodgkin lymphoma (C81),1985,N65_69,65,50,115
Hodgkin lymphoma (C81),1985,N70_74,94,82,176
Hodgkin lymphoma (C81),1985,N75_79,42,50,92
Hodgkin lymphoma (C81),1985,N80_84,20,35,55
Hodgkin lymphoma (C81),1985,N85+,7,16,23
Hodgkin lymphoma (C81),1985,N_UNK,0,0,0
Hodgkin lymphoma (C81),1986,N0_4,13,3,16
Hodgkin lymphoma (C81),1986,N5_9,36,7,43
Hodgkin lymphoma (C81),1986,N10_14,50,30,80
Hodgkin lymphoma (C81),1986,N15_19,105,101,206
Hodgkin lymphoma (C81),1986,N20_24,161,138,299
Hodgkin lymphoma (C81),1986,N25_29,165,107,272
Hodgkin lymphoma (C81),1986,N30_34,117,99,216
Hodgkin lymphoma (C81),1986,N35_39,103,66,169
Hodgkin lymphoma (C81),1986,N40_44,110,51,161
Hodgkin lymphoma (C81),1986,N45_49,86,30,116
Hodgkin lymphoma (C81),1986,N50_54,89,39,128
Hodgkin lymphoma (C81),1986,N55_59,79,39,118
Hodgkin lymphoma (C81),1986,N60_64,73,51,124
Hodgkin lymphoma (C81),1986,N65_69,55,56,111
Hodgkin lymphoma (C81),1986,N70_74,57,65,122
Hodgkin lymphoma (C81),1986,N75_79,49,56,105
Hodgkin lymphoma (C81),1986,N80_84,22,34,56
Hodgkin lymphoma (C81),1986,N85+,13,17,30
Hodgkin lymphoma (C81),1986,N_UNK,0,0,0
Hodgkin lymphoma (C81),1987,N0_4,8,3,11
Hodgkin lymphoma (C81),1987,N5_9,28,8,36
Hodgkin lymphoma (C81),1987,N10_14,37,29,66
Hodgkin lymphoma (C81),1987,N15_19,123,100,223
Hodgkin lymphoma (C81),1987,N20_24,150,151,301
Hodgkin lymphoma (C81),1987,N25_29,125,121,246
Hodgkin lymphoma (C81),1987,N30_34,119,80,199
Hodgkin lymphoma (C81),1987,N35_39,108,84,192
Hodgkin lymphoma (C81),1987,N40_44,104,57,161
Hodgkin lymphoma (C81),1987,N45_49,73,38,111
Hodgkin lymphoma (C81),1987,N50_54,91,42,133
Hodgkin lymphoma (C81),1987,N55_59,93,49,142
Hodgkin lymphoma (C81),1987,N60_64,78,66,144
Hodgkin lymphoma (C81),1987,N65_69,64,49,113
Hodgkin lymphoma (C81),1987,N70_74,63,51,114
Hodgkin lymphoma (C81),1987,N75_79,49,53,102
Hodgkin lymphoma (C81),1987,N80_84,30,45,75
Hodgkin lymphoma (C81),1987,N85+,6,16,22
Hodgkin lymphoma (C81),1987,N_UNK,0,1,1
Hodgkin lymphoma (C81),1988,N0_4,19,1,20
Hodgkin lymphoma (C81),1988,N5_9,30,11,41
Hodgkin lymphoma (C81),1988,N10_14,53,29,82
Hodgkin lymphoma (C81),1988,N15_19,103,108,211
Hodgkin lymphoma (C81),1988,N20_24,172,179,351
Hodgkin lymphoma (C81),1988,N25_29,186,125,311
Hodgkin lymphoma (C81),1988,N30_34,119,103,222
Hodgkin lymphoma (C81),1988,N35_39,125,80,205
Hodgkin lymphoma (C81),1988,N40_44,103,52,155
Hodgkin lymphoma (C81),1988,N45_49,75,30,105
Hodgkin lymphoma (C81),1988,N50_54,90,41,131
Hodgkin lymphoma (C81),1988,N55_59,85,59,144
Hodgkin lymphoma (C81),1988,N60_64,97,56,153
Hodgkin lymphoma (C81),1988,N65_69,74,57,131
Hodgkin lymphoma (C81),1988,N70_74,65,40,105
Hodgkin lymphoma (C81),1988,N75_79,46,73,119
Hodgkin lymphoma (C81),1988,N80_84,21,39,60
Hodgkin lymphoma (C81),1988,N85+,10,22,32
Hodgkin lymphoma (C81),1988,N_UNK,0,1,1
Hodgkin lymphoma (C81),1989,N0_4,17,4,21
Hodgkin lymphoma (C81),1989,N5_9,29,7,36
Hodgkin lymphoma (C81),1989,N10_14,50,34,84
Hodgkin lymphoma (C81),1989,N15_19,156,136,292
Hodgkin lymphoma (C81),1989,N20_24,208,201,409
Hodgkin lymphoma (C81),1989,N25_29,189,142,331
Hodgkin lymphoma (C81),1989,N30_34,161,100,261
Hodgkin lymphoma (C81),1989,N35_39,113,110,223
Hodgkin lymphoma (C81),1989,N40_44,148,80,228
Hodgkin lymphoma (C81),1989,N45_49,94,47,141
Hodgkin lymphoma (C81),1989,N50_54,113,40,153
Hodgkin lymphoma (C81),1989,N55_59,101,54,155
Hodgkin lymphoma (C81),1989,N60_64,101,61,162
Hodgkin lymphoma (C81),1989,N65_69,113,89,202
Hodgkin lymphoma (C81),1989,N70_74,74,70,144
Hodgkin lymphoma (C81),1989,N75_79,64,66,130
Hodgkin lymphoma (C81),1989,N80_84,26,45,71
Hodgkin lymphoma (C81),1989,N85+,11,19,30
Hodgkin lymphoma (C81),1989,N_UNK,0,0,0
Hodgkin lymphoma (C81),1990,N0_4,17,3,20
Hodgkin lymphoma (C81),1990,N5_9,32,14,46
Hodgkin lymphoma (C81),1990,N10_14,53,40,93
Hodgkin lymphoma (C81),1990,N15_19,167,138,305
Hodgkin lymphoma (C81),1990,N20_24,189,197,386
Hodgkin lymphoma (C81),1990,N25_29,199,159,358
Hodgkin lymphoma (C81),1990,N30_34,164,129,293
Hodgkin lymphoma (C81),1990,N35_39,112,80,192
Hodgkin lymphoma (C81),1990,N40_44,135,71,206
Hodgkin lymphoma (C81),1990,N45_49,91,47,138
Hodgkin lymphoma (C81),1990,N50_54,126,55,181
Hodgkin lymphoma (C81),1990,N55_59,110,64,174
Hodgkin lymphoma (C81),1990,N60_64,107,81,188
Hodgkin lymphoma (C81),1990,N65_69,98,80,178
Hodgkin lymphoma (C81),1990,N70_74,68,54,122
Hodgkin lymphoma (C81),1990,N75_79,53,60,113
Hodgkin lymphoma (C81),1990,N80_84,28,24,52
Hodgkin lymphoma (C81),1990,N85+,8,20,28
Hodgkin lymphoma (C81),1990,N_UNK,0,0,0
Hodgkin lymphoma (C81),1991,N0_4,12,5,17
Hodgkin lymphoma (C81),1991,N5_9,37,8,45
Hodgkin lymphoma (C81),1991,N10_14,52,34,86
Hodgkin lymphoma (C81),1991,N15_19,126,133,259
Hodgkin lymphoma (C81),1991,N20_24,226,202,428
Hodgkin lymphoma (C81),1991,N25_29,187,151,338
Hodgkin lymphoma (C81),1991,N30_34,167,107,274
Hodgkin lymphoma (C81),1991,N35_39,135,73,208
Hodgkin lymphoma (C81),1991,N40_44,123,77,200
Hodgkin lymphoma (C81),1991,N45_49,116,60,176
Hodgkin lymphoma (C81),1991,N50_54,107,51,158
Hodgkin lymphoma (C81),1991,N55_59,99,45,144
Hodgkin lymphoma (C81),1991,N60_64,113,57,170
Hodgkin lymphoma (C81),1991,N65_69,100,86,186
Hodgkin lymphoma (C81),1991,N70_74,60,56,116
Hodgkin lymphoma (C81),1991,N75_79,49,64,113
Hodgkin lymphoma (C81),1991,N80_84,38,48,86
Hodgkin lymphoma (C81),1991,N85+,9,20,29
Hodgkin lymphoma (C81),1991,N_UNK,0,2,2
Hodgkin lymphoma (C81),1992,N0_4,16,1,17
Hodgkin lymphoma (C81),1992,N5_9,42,11,53
Hodgkin lymphoma (C81),1992,N10_14,61,41,102
Hodgkin lymphoma (C81),1992,N15_19,122,159,281
Hodgkin lymphoma (C81),1992,N20_24,215,207,422
Hodgkin lymphoma (C81),1992,N25_29,201,176,377
Hodgkin lymphoma (C81),1992,N30_34,166,112,278
Hodgkin lymphoma (C81),1992,N35_39,138,89,227
Hodgkin lymphoma (C81),1992,N40_44,133,83,216
Hodgkin lymphoma (C81),1992,N45_49,118,59,177
Hodgkin lymphoma (C81),1992,N50_54,92,51,143
Hodgkin lymphoma (C81),1992,N55_59,91,56,147
Hodgkin lymphoma (C81),1992,N60_64,101,48,149
Hodgkin lymphoma (C81),1992,N65_69,95,81,176
Hodgkin lymphoma (C81),1992,N70_74,77,58,135
Hodgkin lymphoma (C81),1992,N75_79,55,61,116
Hodgkin lymphoma (C81),1992,N80_84,30,36,66
Hodgkin lymphoma (C81),1992,N85+,14,25,39
Hodgkin lymphoma (C81),1992,N_UNK,0,0,0
Hodgkin lymphoma (C81),1993,N0_4,13,2,15
Hodgkin lymphoma (C81),1993,N5_9,24,12,36
Hodgkin lymphoma (C81),1993,N10_14,49,42,91
Hodgkin lymphoma (C81),1993,N15_19,126,174,300
Hodgkin lymphoma (C81),1993,N20_24,202,201,403
Hodgkin lymphoma (C81),1993,N25_29,225,172,397
Hodgkin lymphoma (C81),1993,N30_34,192,145,337
Hodgkin lymphoma (C81),1993,N35_39,165,94,259
Hodgkin lymphoma (C81),1993,N40_44,127,67,194
Hodgkin lymphoma (C81),1993,N45_49,122,66,188
Hodgkin lymphoma (C81),1993,N50_54,109,55,164
Hodgkin lymphoma (C81),1993,N55_59,101,44,145
Hodgkin lymphoma (C81),1993,N60_64,116,64,180
Hodgkin lymphoma (C81),1993,N65_69,87,81,168
Hodgkin lymphoma (C81),1993,N70_74,73,67,140
Hodgkin lymphoma (C81),1993,N75_79,42,48,90
Hodgkin lymphoma (C81),1993,N80_84,24,40,64
Hodgkin lymphoma (C81),1993,N85+,14,19,33
Hodgkin lymphoma (C81),1993,N_UNK,0,0,0
Hodgkin lymphoma (C81),1994,N0_4,12,3,15
Hodgkin lymphoma (C81),1994,N5_9,41,5,46
Hodgkin lymphoma (C81),1994,N10_14,60,43,103
Hodgkin lymphoma (C81),1994,N15_19,129,141,270
Hodgkin lymphoma (C81),1994,N20_24,185,210,395
Hodgkin lymphoma (C81),1994,N25_29,223,200,423
Hodgkin lymphoma (C81),1994,N30_34,147,128,275
Hodgkin lymphoma (C81),1994,N35_39,143,113,256
Hodgkin lymphoma (C81),1994,N40_44,112,71,183
Hodgkin lymphoma (C81),1994,N45_49,119,74,193
Hodgkin lymphoma (C81),1994,N50_54,96,59,155
Hodgkin lymphoma (C81),1994,N55_59,120,57,177
Hodgkin lymphoma (C81),1994,N60_64,103,70,173
Hodgkin lymphoma (C81),1994,N65_69,82,69,151
Hodgkin lymphoma (C81),1994,N70_74,82,73,155
Hodgkin lymphoma (C81),1994,N75_79,32,36,68
Hodgkin lymphoma (C81),1994,N80_84,20,52,72
Hodgkin lymphoma (C81),1994,N85+,15,29,44
Hodgkin lymphoma (C81),1994,N_UNK,0,0,0
Hodgkin lymphoma (C81),1995,N0_4,15,2,17
Hodgkin lymphoma (C81),1995,N5_9,28,9,37
Hodgkin lymphoma (C81),1995,N10_14,59,53,112
Hodgkin lymphoma (C81),1995,N15_19,122,145,267
Hodgkin lymphoma (C81),1995,N20_24,215,184,399
Hodgkin lymphoma (C81),1995,N25_29,206,200,406
Hodgkin lymphoma (C81),1995,N30_34,162,145,307
Hodgkin lymphoma (C81),1995,N35_39,141,92,233
Hodgkin lymphoma (C81),1995,N40_44,137,68,205
Hodgkin lymphoma (C81),1995,N45_49,126,63,189
Hodgkin lymphoma (C81),1995,N50_54,89,64,153
Hodgkin lymphoma (C81),1995,N55_59,104,57,161
Hodgkin lymphoma (C81),1995,N60_64,95,71,166
Hodgkin lymphoma (C81),1995,N65_69,98,82,180
Hodgkin lymphoma (C81),1995,N70_74,83,66,149
Hodgkin lymphoma (C81),1995,N75_79,54,58,112
Hodgkin lymphoma (C81),1995,N80_84,24,44,68
Hodgkin lymphoma (C81),1995,N85+,19,23,42
Hodgkin lymphoma (C81),1995,N_UNK,5,6,11
Hodgkin lymphoma (C81),1996,N0_4,9,4,13
Hodgkin lymphoma (C81),1996,N5_9,28,13,41
Hodgkin lymphoma (C81),1996,N10_14,75,32,107
Hodgkin lymphoma (C81),1996,N15_19,134,140,274
Hodgkin lymphoma (C81),1996,N20_24,181,202,383
Hodgkin lymphoma (C81),1996,N25_29,230,189,419
Hodgkin lymphoma (C81),1996,N30_34,188,166,354
Hodgkin lymphoma (C81),1996,N35_39,148,93,241
Hodgkin lymphoma (C81),1996,N40_44,134,66,200
Hodgkin lymphoma (C81),1996,N45_49,110,60,170
Hodgkin lymphoma (C81),1996,N50_54,92,57,149
Hodgkin lymphoma (C81),1996,N55_59,96,64,160
Hodgkin lymphoma (C81),1996,N60_64,93,61,154
Hodgkin lymphoma (C81),1996,N65_69,84,77,161
Hodgkin lymphoma (C81),1996,N70_74,78,75,153
Hodgkin lymphoma (C81),1996,N75_79,49,53,102
Hodgkin lymphoma (C81),1996,N80_84,34,34,68
Hodgkin lymphoma (C81),1996,N85+,13,27,40
Hodgkin lymphoma (C81),1996,N_UNK,0,0,0
Hodgkin lymphoma (C81),1997,N0_4,10,0,10
Hodgkin lymphoma (C81),1997,N5_9,23,10,33
Hodgkin lymphoma (C81),1997,N10_14,74,59,133
Hodgkin lymphoma (C81),1997,N15_19,142,131,273
Hodgkin lymphoma (C81),1997,N20_24,154,174,328
Hodgkin lymphoma (C81),1997,N25_29,204,179,383
Hodgkin lymphoma (C81),1997,N30_34,187,166,353
Hodgkin lymphoma (C81),1997,N35_39,139,103,242
Hodgkin lymphoma (C81),1997,N40_44,142,63,205
Hodgkin lymphoma (C81),1997,N45_49,120,55,175
Hodgkin lymphoma (C81),1997,N50_54,93,59,152
Hodgkin lymphoma (C81),1997,N55_59,104,40,144
Hodgkin lymphoma (C81),1997,N60_64,98,64,162
Hodgkin lymphoma (C81),1997,N65_69,87,78,165
Hodgkin lymphoma (C81),1997,N70_74,71,83,154
Hodgkin lymphoma (C81),1997,N75_79,54,61,115
Hodgkin lymphoma (C81),1997,N80_84,27,36,63
Hodgkin lymphoma (C81),1997,N85+,12,20,32
Hodgkin lymphoma (C81),1997,N_UNK,0,0,0
Hodgkin lymphoma (C81),1998,N0_4,16,4,20
Hodgkin lymphoma (C81),1998,N5_9,20,7,27
Hodgkin lymphoma (C81),1998,N10_14,84,62,146
Hodgkin lymphoma (C81),1998,N15_19,140,174,314
Hodgkin lymphoma (C81),1998,N20_24,200,203,403
Hodgkin lymphoma (C81),1998,N25_29,195,233,428
Hodgkin lymphoma (C81),1998,N30_34,203,152,355
Hodgkin lymphoma (C81),1998,N35_39,183,144,327
Hodgkin lymphoma (C81),1998,N40_44,161,78,239
Hodgkin lymphoma (C81),1998,N45_49,114,77,191
Hodgkin lymphoma (C81),1998,N50_54,123,64,187
Hodgkin lymphoma (C81),1998,N55_59,101,78,179
Hodgkin lymphoma (C81),1998,N60_64,84,71,155
Hodgkin lymphoma (C81),1998,N65_69,113,82,195
Hodgkin lymphoma (C81),1998,N70_74,95,89,184
Hodgkin lymphoma (C81),1998,N75_79,58,61,119
Hodgkin lymphoma (C81),1998,N80_84,30,45,75
Hodgkin lymphoma (C81),1998,N85+,15,35,50
Hodgkin lymphoma (C81),1998,N_UNK,0,1,1
Hodgkin lymphoma (C81),1999,N0_4,10,3,13
Hodgkin lymphoma (C81),1999,N5_9,23,19,42
Hodgkin lymphoma (C81),1999,N10_14,83,63,146
Hodgkin lymphoma (C81),1999,N15_19,149,170,319
Hodgkin lymphoma (C81),1999,N20_24,200,220,420
Hodgkin lymphoma (C81),1999,N25_29,237,218,455
Hodgkin lymphoma (C81),1999,N30_34,223,168,391
Hodgkin lymphoma (C81),1999,N35_39,206,124,330
Hodgkin lymphoma (C81),1999,N40_44,132,77,209
Hodgkin lymphoma (C81),1999,N45_49,134,74,208
Hodgkin lymphoma (C81),1999,N50_54,135,80,215
Hodgkin lymphoma (C81),1999,N55_59,120,70,190
Hodgkin lymphoma (C81),1999,N60_64,123,73,196
Hodgkin lymphoma (C81),1999,N65_69,108,67,175
Hodgkin lymphoma (C81),1999,N70_74,87,80,167
Hodgkin lymphoma (C81),1999,N75_79,55,86,141
Hodgkin lymphoma (C81),1999,N80_84,22,34,56
Hodgkin lymphoma (C81),1999,N85+,15,29,44
Hodgkin lymphoma (C81),1999,N_UNK,0,0,0
Hodgkin lymphoma (C81),2000,N0_4,10,4,14
Hodgkin lymphoma (C81),2000,N5_9,42,16,58
Hodgkin lymphoma (C81),2000,N10_14,75,57,132
Hodgkin lymphoma (C81),2000,N15_19,173,168,341
Hodgkin lymphoma (C81),2000,N20_24,211,225,436
Hodgkin lymphoma (C81),2000,N25_29,223,205,428
Hodgkin lymphoma (C81),2000,N30_34,223,167,390
Hodgkin lymphoma (C81),2000,N35_39,186,137,323
Hodgkin lymphoma (C81),2000,N40_44,173,101,274
Hodgkin lymphoma (C81),2000,N45_49,143,60,203
Hodgkin lymphoma (C81),2000,N50_54,141,63,204
Hodgkin lymphoma (C81),2000,N55_59,104,67,171
Hodgkin lymphoma (C81),2000,N60_64,111,94,205
Hodgkin lymphoma (C81),2000,N65_69,108,66,174
Hodgkin lymphoma (C81),2000,N70_74,90,83,173
Hodgkin lymphoma (C81),2000,N75_79,86,75,161
Hodgkin lymphoma (C81),2000,N80_84,23,50,73
Hodgkin lymphoma (C81),2000,N85+,17,24,41
Hodgkin lymphoma (C81),2000,N_UNK,0,0,0
Hodgkin lymphoma (C81),2001,N0_4,9,4,13
Hodgkin lymphoma (C81),2001,N5_9,35,13,48
Hodgkin lymphoma (C81),2001,N10_14,76,72,148
Hodgkin lymphoma (C81),2001,N15_19,172,181,353
Hodgkin lymphoma (C81),2001,N20_24,228,238,466
Hodgkin lymphoma (C81),2001,N25_29,210,196,406
Hodgkin lymphoma (C81),2001,N30_34,189,178,367
Hodgkin lymphoma (C81),2001,N35_39,190,120,310
Hodgkin lymphoma (C81),2001,N40_44,160,100,260
Hodgkin lymphoma (C81),2001,N45_49,144,75,219
Hodgkin lymphoma (C81),2001,N50_54,132,57,189
Hodgkin lymphoma (C81),2001,N55_59,108,75,183
Hodgkin lymphoma (C81),2001,N60_64,106,76,182
Hodgkin lymphoma (C81),2001,N65_69,91,102,193
Hodgkin lymphoma (C81),2001,N70_74,89,72,161
Hodgkin lymphoma (C81),2001,N75_79,58,82,140
Hodgkin lymphoma (C81),2001,N80_84,35,41,76
Hodgkin lymphoma (C81),2001,N85+,18,34,52
Hodgkin lymphoma (C81),2001,N_UNK,0,0,0
Hodgkin lymphoma (C81),2002,N0_4,13,3,16
Hodgkin lymphoma (C81),2002,N5_9,48,15,63
Hodgkin lymphoma (C81),2002,N10_14,82,63,145
Hodgkin lymphoma (C81),2002,N15_19,171,166,337
Hodgkin lymphoma (C81),2002,N20_24,203,234,437
Hodgkin lymphoma (C81),2002,N25_29,200,194,394
Hodgkin lymphoma (C81),2002,N30_34,210,189,399
Hodgkin lymphoma (C81),2002,N35_39,175,145,320
Hodgkin lymphoma (C81),2002,N40_44,171,85,256
Hodgkin lymphoma (C81),2002,N45_49,146,71,217
Hodgkin lymphoma (C81),2002,N50_54,129,61,190
Hodgkin lymphoma (C81),2002,N55_59,117,71,188
Hodgkin lymphoma (C81),2002,N60_64,109,79,188
Hodgkin lymphoma (C81),2002,N65_69,114,75,189
Hodgkin lymphoma (C81),2002,N70_74,90,88,178
Hodgkin lymphoma (C81),2002,N75_79,66,75,141
Hodgkin lymphoma (C81),2002,N80_84,46,40,86
Hodgkin lymphoma (C81),2002,N85+,17,29,46
Hodgkin lymphoma (C81),2002,N_UNK,0,0,0
Hodgkin lymphoma (C81),2003,N0_4,12,2,14
Hodgkin lymphoma (C81),2003,N5_9,35,14,49
Hodgkin lymphoma (C81),2003,N10_14,48,59,107
Hodgkin lymphoma (C81),2003,N15_19,170,194,364
Hodgkin lymphoma (C81),2003,N20_24,253,230,483
Hodgkin lymphoma (C81),2003,N25_29,236,210,446
Hodgkin lymphoma (C81),2003,N30_34,215,190,405
Hodgkin lymphoma (C81),2003,N35_39,203,143,346
Hodgkin lymphoma (C81),2003,N40_44,202,106,308
Hodgkin lymphoma (C81),2003,N45_49,147,93,240
Hodgkin lymphoma (C81),2003,N50_54,157,79,236
Hodgkin lymphoma (C81),2003,N55_59,128,72,200
Hodgkin lymphoma (C81),2003,N60_64,129,73,202
Hodgkin lymphoma (C81),2003,N65_69,137,83,220
Hodgkin lymphoma (C81),2003,N70_74,107,73,180
Hodgkin lymphoma (C81),2003,N75_79,83,85,168
Hodgkin lymphoma (C81),2003,N80_84,50,60,110
Hodgkin lymphoma (C81),2003,N85+,16,24,40
Hodgkin lymphoma (C81),2003,N_UNK,0,0,0
Hodgkin lymphoma (C81),2004,N0_4,11,2,13
Hodgkin lymphoma (C81),2004,N5_9,32,8,40
Hodgkin lymphoma (C81),2004,N10_14,70,73,143
Hodgkin lymphoma (C81),2004,N15_19,227,208,435
Hodgkin lymphoma (C81),2004,N20_24,258,257,515
Hodgkin lymphoma (C81),2004,N25_29,198,233,431
Hodgkin lymphoma (C81),2004,N30_34,208,187,395
Hodgkin lymphoma (C81),2004,N35_39,225,139,364
Hodgkin lymphoma (C81),2004,N40_44,186,119,305
Hodgkin lymphoma (C81),2004,N45_49,153,93,246
Hodgkin lymphoma (C81),2004,N50_54,138,80,218
Hodgkin lymphoma (C81),2004,N55_59,141,92,233
Hodgkin lymphoma (C81),2004,N60_64,138,82,220
Hodgkin lymphoma (C81),2004,N65_69,109,89,198
Hodgkin lymphoma (C81),2004,N70_74,97,86,183
Hodgkin lymphoma (C81),2004,N75_79,95,80,175
Hodgkin lymphoma (C81),2004,N80_84,51,67,118
Hodgkin lymphoma (C81),2004,N85+,20,33,53
Hodgkin lymphoma (C81),2004,N_UNK,0,0,0
Hodgkin lymphoma (C81),2005,N0_4,12,2,14
Hodgkin lymphoma (C81),2005,N5_9,20,12,32
Hodgkin lymphoma (C81),2005,N10_14,74,61,135
Hodgkin lymphoma (C81),2005,N15_19,175,194,369
Hodgkin lymphoma (C81),2005,N20_24,222,239,461
Hodgkin lymphoma (C81),2005,N25_29,206,228,434
Hodgkin lymphoma (C81),2005,N30_34,218,166,384
Hodgkin lymphoma (C81),2005,N35_39,211,151,362
Hodgkin lymphoma (C81),2005,N40_44,181,136,317
Hodgkin lymphoma (C81),2005,N45_49,163,91,254
Hodgkin lymphoma (C81),2005,N50_54,146,81,227
Hodgkin lymphoma (C81),2005,N55_59,167,94,261
Hodgkin lymphoma (C81),2005,N60_64,107,76,183
Hodgkin lymphoma (C81),2005,N65_69,117,117,234
Hodgkin lymphoma (C81),2005,N70_74,106,98,204
Hodgkin lymphoma (C81),2005,N75_79,106,81,187
Hodgkin lymphoma (C81),2005,N80_84,59,70,129
Hodgkin lymphoma (C81),2005,N85+,26,36,62
Hodgkin lymphoma (C81),2005,N_UNK,0,0,0
Hodgkin lymphoma (C81),2006,N0_4,10,3,13
Hodgkin lymphoma (C81),2006,N5_9,22,11,33
Hodgkin lymphoma (C81),2006,N10_14,83,73,156
Hodgkin lymphoma (C81),2006,N15_19,178,225,403
Hodgkin lymphoma (C81),2006,N20_24,254,271,525
Hodgkin lymphoma (C81),2006,N25_29,263,226,489
Hodgkin lymphoma (C81),2006,N30_34,212,190,402
Hodgkin lymphoma (C81),2006,N35_39,192,163,355
Hodgkin lymphoma (C81),2006,N40_44,188,119,307
Hodgkin lymphoma (C81),2006,N45_49,141,83,224
Hodgkin lymphoma (C81),2006,N50_54,148,81,229
Hodgkin lymphoma (C81),2006,N55_59,180,87,267
Hodgkin lymphoma (C81),2006,N60_64,152,93,245
Hodgkin lymphoma (C81),2006,N65_69,104,88,192
Hodgkin lymphoma (C81),2006,N70_74,115,102,217
Hodgkin lymphoma (C81),2006,N75_79,102,90,192
Hodgkin lymphoma (C81),2006,N80_84,55,70,125
Hodgkin lymphoma (C81),2006,N85+,22,51,73
Hodgkin lymphoma (C81),2006,N_UNK,1,0,1
Hodgkin lymphoma (C81),2007,N0_4,7,2,9
Hodgkin lymphoma (C81),2007,N5_9,28,9,37
Hodgkin lymphoma (C81),2007,N10_14,55,66,121
Hodgkin lymphoma (C81),2007,N15_19,170,204,374
Hodgkin lymphoma (C81),2007,N20_24,227,234,461
Hodgkin lymphoma (C81),2007,N25_29,256,227,483
Hodgkin lymphoma (C81),2007,N30_34,246,193,439
Hodgkin lymphoma (C81),2007,N35_39,250,159,409
Hodgkin lymphoma (C81),2007,N40_44,216,128,344
Hodgkin lymphoma (C81),2007,N45_49,179,91,270
Hodgkin lymphoma (C81),2007,N50_54,181,66,247
Hodgkin lymphoma (C81),2007,N55_59,139,106,245
Hodgkin lymphoma (C81),2007,N60_64,162,88,250
Hodgkin lymphoma (C81),2007,N65_69,136,95,231
Hodgkin lymphoma (C81),2007,N70_74,120,127,247
Hodgkin lymphoma (C81),2007,N75_79,115,101,216
Hodgkin lymphoma (C81),2007,N80_84,49,61,110
Hodgkin lymphoma (C81),2007,N85+,26,38,64
Hodgkin lymphoma (C81),2007,N_UNK,0,1,1
Hodgkin lymphoma (C81),2008,N0_4,6,0,6
Hodgkin lymphoma (C81),2008,N5_9,29,7,36
Hodgkin lymphoma (C81),2008,N10_14,83,67,150
Hodgkin lymphoma (C81),2008,N15_19,164,188,352
Hodgkin lymphoma (C81),2008,N20_24,262,264,526
Hodgkin lymphoma (C81),2008,N25_29,229,231,460
Hodgkin lymphoma (C81),2008,N30_34,204,195,399
Hodgkin lymphoma (C81),2008,N35_39,176,150,326
Hodgkin lymphoma (C81),2008,N40_44,223,124,347
Hodgkin lymphoma (C81),2008,N45_49,175,92,267
Hodgkin lymphoma (C81),2008,N50_54,160,93,253
Hodgkin lymphoma (C81),2008,N55_59,147,93,240
Hodgkin lymphoma (C81),2008,N60_64,154,84,238
Hodgkin lymphoma (C81),2008,N65_69,133,101,234
Hodgkin lymphoma (C81),2008,N70_74,135,126,261
Hodgkin lymphoma (C81),2008,N75_79,111,90,201
Hodgkin lymphoma (C81),2008,N80_84,47,79,126
Hodgkin lymphoma (C81),2008,N85+,32,42,74
Hodgkin lymphoma (C81),2008,N_UNK,0,0,0
Hodgkin lymphoma (C81),2009,N0_4,9,3,12
Hodgkin lymphoma (C81),2009,N5_9,30,10,40
Hodgkin lymphoma (C81),2009,N10_14,87,56,143
Hodgkin lymphoma (C81),2009,N15_19,193,205,398
Hodgkin lymphoma (C81),2009,N20_24,236,261,497
Hodgkin lymphoma (C81),2009,N25_29,273,257,530
Hodgkin lymphoma (C81),2009,N30_34,224,184,408
Hodgkin lymphoma (C81),2009,N35_39,227,183,410
Hodgkin lymphoma (C81),2009,N40_44,197,139,336
Hodgkin lymphoma (C81),2009,N45_49,181,102,283
Hodgkin lymphoma (C81),2009,N50_54,156,101,257
Hodgkin lymphoma (C81),2009,N55_59,141,103,244
Hodgkin lymphoma (C81),2009,N60_64,158,108,266
Hodgkin lymphoma (C81),2009,N65_69,168,117,285
Hodgkin lymphoma (C81),2009,N70_74,111,87,198
Hodgkin lymphoma (C81),2009,N75_79,122,114,236
Hodgkin lymphoma (C81),2009,N80_84,60,75,135
Hodgkin lymphoma (C81),2009,N85+,34,62,96
Hodgkin lymphoma (C81),2009,N_UNK,0,0,0
Hodgkin lymphoma (C81),2010,N0_4,10,0,10
Hodgkin lymphoma (C81),2010,N5_9,22,10,32
Hodgkin lymphoma (C81),2010,N10_14,77,45,122
Hodgkin lymphoma (C81),2010,N15_19,208,215,423
Hodgkin lymphoma (C81),2010,N20_24,261,273,534
Hodgkin lymphoma (C81),2010,N25_29,235,244,479
Hodgkin lymphoma (C81),2010,N30_34,256,195,451
Hodgkin lymphoma (C81),2010,N35_39,231,188,419
